1701193743632032768,0.05631,-0.02139,1.74210,0.99971,0.00681,0.02150,-0.00837,
1701193743898718720,0.06269,-0.02751,1.92362,0.99972,0.00054,0.02254,-0.00668,
1701193744165410048,0.06415,-0.03327,2.11194,0.99977,-0.00232,0.02109,-0.00323,
1701193744432101632,0.06004,-0.03737,2.30802,0.99998,0.00235,-0.00517,-0.00250,
1701193744565447680,0.05606,-0.04297,2.41055,0.99970,0.00180,-0.02442,0.00215,
1701193744698793728,0.03894,-0.03966,2.51581,0.99799,0.00129,-0.06326,-0.00311,
1701193744832140032,0.02380,-0.04509,2.60813,0.99522,0.01024,-0.09707,0.00385,
1701193744965486848,-0.00677,-0.04615,2.70205,0.99093,0.00250,-0.13415,0.00701,
1701193745098833920,-0.03754,-0.04953,2.79325,0.98811,0.00872,-0.15350,0.00286,
1701193745232181248,-0.06283,-0.05693,2.89035,0.98794,0.00094,-0.15474,0.00594,
1701193745498876928,-0.13310,-0.06044,3.12157,0.98746,0.00458,-0.15770,0.00559,
1701193745632224512,-0.17804,-0.05901,3.25447,0.98733,0.00406,-0.15864,-0.00141,
1701193745765572608,-0.21793,-0.07071,3.39955,0.98715,0.00783,-0.15943,0.00802,
1701193745898917888,-0.22795,-0.07448,3.53247,0.98658,0.00651,-0.16312,-0.00125,
1701193746168138752,-0.29343,-0.07929,3.78073,0.98634,0.00306,-0.16464,0.00290,
1701193746302796288,-0.34947,-0.08712,3.90991,0.98724,-0.00042,-0.15886,-0.01065,
1701193746437485568,-0.39198,-0.09154,4.04647,0.99076,0.00129,-0.13555,-0.00506,
1701193746572206848,-0.43348,-0.09437,4.17257,0.99278,-0.00094,-0.11868,-0.01760,
1701193746706959616,-0.45410,-0.10380,4.28582,0.99612,0.00567,-0.08777,-0.00299,
1701193746841744384,-0.46465,-0.09984,4.38523,0.99848,0.00020,-0.05384,-0.01138,
1701193746975758848,-0.45088,-0.10265,4.47883,0.99994,0.00788,-0.00758,-0.00196,
1701193747108979712,-0.44608,-0.09503,4.58088,0.99989,0.00783,0.01184,-0.00437,
1701193747242196224,-0.43080,-0.09034,4.65747,0.99974,0.01470,0.01736,0.00095,
1701193747375408640,-0.42010,-0.08566,4.74787,0.99976,0.00821,0.01866,0.00804,
1701193747641821440,-0.38568,-0.06849,4.93673,0.99966,0.00076,0.02192,0.01423,
1701193748041435904,-0.34536,-0.07289,5.26848,0.99966,0.00901,0.02458,-0.00088,
1701193748574267648,-0.32240,-0.07815,5.71730,0.99957,0.01707,0.02394,0.00074,
1701193748707465984,-0.32483,-0.07574,5.83924,0.99971,0.01151,0.02099,-0.00400,
1701193748840658688,-0.32175,-0.07956,5.95565,0.99992,0.00975,0.00768,0.00343,
1701193748973867008,-0.32317,-0.08548,6.07240,0.99992,0.00965,-0.00847,-0.00100,
1701193749107090432,-0.32614,-0.08984,6.19117,0.99997,0.00400,-0.00474,0.00407,
1701193749373525504,-0.32375,-0.10128,6.41800,0.99992,0.00965,-0.00817,0.00019,
1701193749773146880,-0.32569,-0.09173,6.78500,0.99990,0.00984,-0.01014,0.00185,
1701193750039569664,-0.31956,-0.09668,7.02259,0.99990,0.00881,-0.00997,0.00366,
1701193750306003456,-0.31680,-0.09347,7.24571,0.99987,0.01015,-0.01175,0.00533,
1701193750705623808,-0.31018,-0.10104,7.56979,0.99988,0.01089,-0.01082,-0.00021,
1701193750972033024,-0.30436,-0.11499,7.75502,0.99992,0.00921,-0.00886,0.00126,
1701193751238473216,-0.30559,-0.11996,7.91439,0.99993,0.00819,-0.00811,0.00003,
1701193751504897792,-0.30224,-0.12675,8.05139,0.99999,0.00262,-0.00225,-0.00243,
1701193751638103552,-0.28969,-0.13255,8.11365,0.99987,-0.00161,0.01363,-0.00839,
1701193751771304960,-0.27007,-0.13593,8.16724,0.99864,0.00184,0.05175,-0.00523,
1701193751904502272,-0.24260,-0.14436,8.21558,0.99400,-0.00521,0.10909,-0.00643,
1701193752037727232,-0.20548,-0.14602,8.25558,0.98405,-0.00458,0.17769,-0.00694,
1701193752170947584,-0.16814,-0.13936,8.29323,0.97334,-0.00085,0.22933,-0.00224,
1701193752304163840,-0.12864,-0.13609,8.31672,0.96075,-0.00254,0.27739,0.00266,
1701193752437376000,-0.08404,-0.12559,8.34327,0.94580,-0.00217,0.32465,0.00831,
1701193752570584064,-0.03925,-0.11796,8.35924,0.93041,0.00149,0.36629,0.01330,
1701193752703787776,-0.01556,-0.10890,8.35581,0.90797,0.00122,0.41891,0.01014,
1701193752836987648,0.03584,-0.11543,8.34022,0.88726,-0.00149,0.46114,0.01058,
1701193752970201856,0.15504,-0.12732,8.30196,0.86205,0.00021,0.50672,0.01015,
1701193753103429376,0.21420,-0.17426,8.25414,0.84024,-0.00388,0.54196,0.01643,
1701193753236652544,0.27784,-0.23053,8.19447,0.81996,0.00310,0.57221,0.01550,
1701193753369872128,0.33882,-0.22347,8.22155,0.80718,-0.00356,0.59003,0.01741,
1701193753503087872,0.42000,-0.22896,8.21221,0.80126,-0.00254,0.59804,0.01799,
1701193753636299008,0.50240,-0.22890,8.23123,0.79424,-0.01108,0.60717,0.02002,
1701193753902710016,0.70369,-0.23326,8.27235,0.79096,-0.01063,0.61136,0.02262,
1701193754169139968,0.94740,-0.22733,8.29905,0.79248,-0.00499,0.60963,0.01730,
1701193754435551488,1.16656,-0.20294,8.36797,0.79205,0.00120,0.61032,0.01290,
1701193754568750592,1.29474,-0.18865,8.40028,0.79171,0.00152,0.61057,0.02021,
1701193754835136000,1.53592,-0.12386,8.48330,0.78533,0.00866,0.61880,0.01601,
1701193754968341248,1.65878,-0.11444,8.49543,0.78567,0.01022,0.61856,-0.00100,
1701193755101561344,1.74938,-0.12608,8.53158,0.78164,0.00938,0.62362,0.00629,
1701193755367988224,1.98281,-0.13637,8.54360,0.78621,0.01126,0.61785,0.00302,
1701193755501195776,2.09571,-0.14824,8.56603,0.78571,0.00797,0.61854,0.00305,
1701193755634398464,2.19133,-0.15684,8.59236,0.78398,0.01294,0.62065,0.00042,
1701193755767597312,2.28192,-0.15490,8.61687,0.79041,0.00828,0.61245,0.00949,
1701193755900791808,2.37266,-0.15819,8.65408,0.80797,0.00876,0.58915,0.00454,
1701193756034019328,2.47789,-0.16023,8.68912,0.83219,0.00428,0.55416,0.01858,
